split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
test,0.5,0.5,0.58,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.59,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.59,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.6,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.6,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.61,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.61,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.62,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.62,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.63,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.63,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.64,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.64,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.65,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.65,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.66,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.66,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.67,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.67,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.68,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.68,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.69,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.69,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.5,0.5,0.7,0,0,215,743,0.0,0.0,0.0,0.0
test,0.5,0.5,0.7,0,0,463,1866,0.0,0.0,0.0,0.0
val,0.4,0.6,0.2,111,77,104,666,0.5904255319148937,0.5162790697674419,0.5508684863523573,0.475
test,0.4,0.6,0.2,260,227,203,1639,0.5338809034907598,0.5615550755939525,0.5473684210526316,0.4
val,0.4,0.6,0.21,103,68,112,675,0.6023391812865497,0.4790697674418605,0.533678756476684,0.475
test,0.4,0.6,0.21,250,205,213,1661,0.5494505494505495,0.5399568034557235,0.5446623093681917,0.4
val,0.4,0.6,0.22,95,64,120,679,0.5974842767295597,0.4418604651162791,0.5080213903743316,0.425
test,0.4,0.6,0.22,236,197,227,1669,0.5450346420323325,0.509719222462203,0.5267857142857143,0.34
val,0.4,0.6,0.23,93,60,122,683,0.6078431372549019,0.4325581395348837,0.5054347826086957,0.425
test,0.4,0.6,0.23,230,183,233,1683,0.5569007263922519,0.49676025917926564,0.5251141552511416,0.34
val,0.4,0.6,0.24,88,50,127,693,0.6376811594202898,0.40930232558139534,0.49858356940509924,0.375
test,0.4,0.6,0.24,222,169,241,1697,0.5677749360613811,0.4794816414686825,0.5199063231850117,0.34
val,0.4,0.6,0.25,78,39,137,704,0.6666666666666666,0.3627906976744186,0.4698795180722892,0.35
test,0.4,0.6,0.25,210,149,253,1717,0.584958217270195,0.4535637149028078,0.5109489051094891,0.34
val,0.4,0.6,0.26,74,33,141,710,0.6915887850467289,0.34418604651162793,0.4596273291925466,0.3
test,0.4,0.6,0.26,199,135,264,1731,0.5958083832335329,0.4298056155507559,0.4993726474278544,0.32
val,0.4,0.6,0.27,64,23,151,720,0.735632183908046,0.29767441860465116,0.423841059602649,0.275
test,0.4,0.6,0.27,187,113,276,1753,0.6233333333333333,0.4038876889848812,0.49017038007863684,0.32
val,0.4,0.6,0.28,36,12,179,731,0.75,0.16744186046511628,0.27376425855513314,0.25
test,0.4,0.6,0.28,144,85,319,1781,0.62882096069869,0.31101511879049676,0.4161849710982659,0.32
val,0.4,0.6,0.29,20,7,195,736,0.7407407407407407,0.09302325581395349,0.1652892561983471,0.225
test,0.4,0.6,0.29,82,50,381,1816,0.6212121212121212,0.1771058315334773,0.2756302521008403,0.26
val,0.4,0.6,0.3,16,5,199,738,0.7619047619047619,0.07441860465116279,0.13559322033898305,0.2
test,0.4,0.6,0.3,36,38,427,1828,0.4864864864864865,0.07775377969762419,0.1340782122905028,0.24
val,0.4,0.6,0.31,14,4,201,739,0.7777777777777778,0.06511627906976744,0.12017167381974249,0.2
test,0.4,0.6,0.31,24,32,439,1834,0.42857142857142855,0.05183585313174946,0.09248554913294797,0.2
val,0.4,0.6,0.32,11,3,204,740,0.7857142857142857,0.05116279069767442,0.09606986899563319,0.15
test,0.4,0.6,0.32,21,26,442,1840,0.44680851063829785,0.04535637149028078,0.0823529411764706,0.18
val,0.4,0.6,0.33,11,3,204,740,0.7857142857142857,0.05116279069767442,0.09606986899563319,0.15
test,0.4,0.6,0.33,21,25,442,1841,0.45652173913043476,0.04535637149028078,0.0825147347740668,0.18
val,0.4,0.6,0.34,11,2,204,741,0.8461538461538461,0.05116279069767442,0.09649122807017545,0.15
test,0.4,0.6,0.34,21,24,442,1842,0.4666666666666667,0.04535637149028078,0.08267716535433071,0.18
val,0.4,0.6,0.35,11,2,204,741,0.8461538461538461,0.05116279069767442,0.09649122807017545,0.15
test,0.4,0.6,0.35,19,23,444,1843,0.4523809523809524,0.04103671706263499,0.07524752475247523,0.16
val,0.4,0.6,0.36,9,2,206,741,0.8181818181818182,0.04186046511627907,0.07964601769911504,0.15
test,0.4,0.6,0.36,18,23,445,1843,0.43902439024390244,0.038876889848812095,0.07142857142857142,0.16
val,0.4,0.6,0.37,7,2,208,741,0.7777777777777778,0.03255813953488372,0.0625,0.1
test,0.4,0.6,0.37,17,23,446,1843,0.425,0.0367170626349892,0.06759443339960239,0.14
val,0.4,0.6,0.38,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.4,0.6,0.38,17,23,446,1843,0.425,0.0367170626349892,0.06759443339960239,0.14
val,0.4,0.6,0.39,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.4,0.6,0.39,17,23,446,1843,0.425,0.0367170626349892,0.06759443339960239,0.14
val,0.4,0.6,0.4,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.4,0.6,0.4,15,21,448,1845,0.4166666666666667,0.032397408207343416,0.06012024048096192,0.14
val,0.4,0.6,0.41,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.4,0.6,0.41,15,20,448,1846,0.42857142857142855,0.032397408207343416,0.06024096385542169,0.14
val,0.4,0.6,0.42,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.4,0.6,0.42,15,20,448,1846,0.42857142857142855,0.032397408207343416,0.06024096385542169,0.14
val,0.4,0.6,0.43,6,2,209,741,0.75,0.027906976744186046,0.05381165919282511,0.1
test,0.4,0.6,0.43,13,13,450,1853,0.5,0.028077753779697623,0.05316973415132924,0.12
val,0.4,0.6,0.44,3,1,212,742,0.75,0.013953488372093023,0.027397260273972605,0.075
test,0.4,0.6,0.44,8,7,455,1859,0.5333333333333333,0.017278617710583154,0.03347280334728034,0.08
val,0.4,0.6,0.45,3,1,212,742,0.75,0.013953488372093023,0.027397260273972605,0.075
test,0.4,0.6,0.45,6,5,457,1861,0.5454545454545454,0.012958963282937365,0.025316455696202535,0.08
val,0.4,0.6,0.46,3,1,212,742,0.75,0.013953488372093023,0.027397260273972605,0.075
test,0.4,0.6,0.46,3,5,460,1861,0.375,0.0064794816414686825,0.012738853503184714,0.04
val,0.4,0.6,0.47,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.4,0.6,0.47,2,2,461,1864,0.5,0.004319654427645789,0.008565310492505354,0.04
val,0.4,0.6,0.48,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.4,0.6,0.48,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
val,0.4,0.6,0.49,3,0,212,743,1.0,0.013953488372093023,0.027522935779816512,0.075
test,0.4,0.6,0.49,2,1,461,1865,0.6666666666666666,0.004319654427645789,0.008583690987124463,0.04
