split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
test,0.55,0.45,0.28,254,224,209,1642,0.5313807531380753,0.5485961123110151,0.5398512221041446,0.4
val,0.55,0.45,0.3,102,63,113,680,0.6181818181818182,0.4744186046511628,0.5368421052631579,0.45
test,0.55,0.45,0.3,250,210,213,1656,0.5434782608695652,0.5399568034557235,0.541711809317443,0.4
val,0.55,0.45,0.32,101,61,114,682,0.6234567901234568,0.4697674418604651,0.5358090185676393,0.45
test,0.55,0.45,0.32,243,187,220,1679,0.5651162790697675,0.5248380129589633,0.5442329227323629,0.36
val,0.55,0.45,0.34,98,57,117,686,0.632258064516129,0.4558139534883721,0.5297297297297296,0.45
test,0.55,0.45,0.34,234,171,229,1695,0.5777777777777777,0.5053995680345572,0.5391705069124424,0.34
val,0.55,0.45,0.36,94,54,121,689,0.6351351351351351,0.4372093023255814,0.5179063360881543,0.4
test,0.55,0.45,0.36,228,160,235,1706,0.5876288659793815,0.4924406047516199,0.5358401880141012,0.34
val,0.55,0.45,0.38,93,49,122,694,0.6549295774647887,0.4325581395348837,0.5210084033613446,0.4
test,0.55,0.45,0.38,217,149,246,1717,0.592896174863388,0.468682505399568,0.5235223160434257,0.32
val,0.55,0.45,0.4,90,48,125,695,0.6521739130434783,0.4186046511627907,0.5099150141643058,0.35
test,0.55,0.45,0.4,210,138,253,1728,0.603448275862069,0.4535637149028078,0.5178791615289765,0.32
val,0.6,0.4,0.1,148,132,67,611,0.5285714285714286,0.6883720930232559,0.5979797979797981,0.65
test,0.6,0.4,0.1,326,441,137,1425,0.42503259452411996,0.7041036717062635,0.5300813008130082,0.54
val,0.6,0.4,0.12,140,123,75,620,0.532319391634981,0.6511627906976745,0.5857740585774059,0.65
test,0.6,0.4,0.12,320,399,143,1467,0.44506258692628653,0.6911447084233261,0.541455160744501,0.54
val,0.6,0.4,0.14,131,113,84,630,0.5368852459016393,0.6093023255813953,0.5708061002178649,0.6
test,0.6,0.4,0.14,310,365,153,1501,0.45925925925925926,0.6695464362850972,0.5448154657293497,0.54
val,0.6,0.4,0.16,127,97,88,646,0.5669642857142857,0.5906976744186047,0.5785876993166287,0.6
test,0.6,0.4,0.16,304,347,159,1519,0.46697388632872505,0.6565874730021598,0.5457809694793537,0.48
val,0.6,0.4,0.18,125,92,90,651,0.576036866359447,0.5813953488372093,0.5787037037037037,0.6
test,0.6,0.4,0.18,294,325,169,1541,0.47495961227786754,0.6349892008639308,0.543438077634011,0.48
val,0.6,0.4,0.2,120,85,95,658,0.5853658536585366,0.5581395348837209,0.5714285714285714,0.55
test,0.6,0.4,0.2,288,303,175,1563,0.4873096446700508,0.6220302375809935,0.5464895635673624,0.46
val,0.6,0.4,0.22,116,81,99,662,0.5888324873096447,0.5395348837209303,0.5631067961165048,0.525
test,0.6,0.4,0.22,278,279,185,1587,0.4991023339317774,0.6004319654427646,0.5450980392156863,0.46
val,0.6,0.4,0.24,114,75,101,668,0.6031746031746031,0.5302325581395348,0.5643564356435643,0.525
test,0.6,0.4,0.24,271,254,192,1612,0.5161904761904762,0.5853131749460043,0.548582995951417,0.42
val,0.6,0.4,0.26,112,71,103,672,0.6120218579234973,0.5209302325581395,0.5628140703517588,0.525
test,0.6,0.4,0.26,260,246,203,1620,0.5138339920948617,0.5615550755939525,0.5366357069143447,0.4
val,0.6,0.4,0.28,109,69,106,674,0.6123595505617978,0.5069767441860465,0.55470737913486,0.5
test,0.6,0.4,0.28,257,232,206,1634,0.5255623721881391,0.5550755939524838,0.5399159663865547,0.38
val,0.6,0.4,0.3,106,63,109,680,0.6272189349112426,0.4930232558139535,0.5520833333333334,0.5
test,0.6,0.4,0.3,251,212,212,1654,0.5421166306695464,0.5421166306695464,0.5421166306695464,0.36
val,0.6,0.4,0.32,102,61,113,682,0.6257668711656442,0.4744186046511628,0.5396825396825397,0.45
test,0.6,0.4,0.32,248,198,215,1668,0.5560538116591929,0.5356371490280778,0.5456545654565457,0.36
val,0.6,0.4,0.34,100,61,115,682,0.6211180124223602,0.46511627906976744,0.5319148936170213,0.425
test,0.6,0.4,0.34,239,181,224,1685,0.569047619047619,0.5161987041036717,0.5413363533408834,0.34
val,0.6,0.4,0.36,98,57,117,686,0.632258064516129,0.4558139534883721,0.5297297297297296,0.425
test,0.6,0.4,0.36,231,166,232,1700,0.5818639798488665,0.49892008639308855,0.5372093023255815,0.34
val,0.6,0.4,0.38,95,54,120,689,0.6375838926174496,0.4418604651162791,0.521978021978022,0.4
test,0.6,0.4,0.38,224,152,239,1714,0.5957446808510638,0.4838012958963283,0.533969010727056,0.3
val,0.6,0.4,0.4,87,50,128,693,0.635036496350365,0.4046511627906977,0.4943181818181818,0.3
test,0.6,0.4,0.4,212,137,251,1729,0.6074498567335244,0.45788336933045354,0.5221674876847291,0.28
val,0.65,0.35,0.1,148,133,67,610,0.5266903914590747,0.6883720930232559,0.5967741935483871,0.65
test,0.65,0.35,0.1,326,438,137,1428,0.42670157068062825,0.7041036717062635,0.5313773431132846,0.54
val,0.65,0.35,0.12,142,127,73,616,0.5278810408921933,0.6604651162790698,0.5867768595041323,0.65
test,0.65,0.35,0.12,320,400,143,1466,0.4444444444444444,0.6911447084233261,0.5409974640743872,0.54
val,0.65,0.35,0.14,134,113,81,630,0.5425101214574899,0.6232558139534884,0.58008658008658,0.6
test,0.65,0.35,0.14,309,372,154,1494,0.45374449339207046,0.6673866090712743,0.5402097902097902,0.5
val,0.65,0.35,0.16,130,95,85,648,0.5777777777777777,0.6046511627906976,0.5909090909090908,0.6
test,0.65,0.35,0.16,305,347,158,1519,0.4677914110429448,0.6587473002159827,0.547085201793722,0.48
val,0.65,0.35,0.18,127,89,88,654,0.5879629629629629,0.5906976744186047,0.5893271461716937,0.6
test,0.65,0.35,0.18,296,326,167,1540,0.4758842443729904,0.6393088552915767,0.5456221198156683,0.48
val,0.65,0.35,0.2,123,87,92,656,0.5857142857142857,0.5720930232558139,0.5788235294117646,0.575
test,0.65,0.35,0.2,289,307,174,1559,0.4848993288590604,0.6241900647948164,0.5457979225684608,0.48
val,0.65,0.35,0.22,119,80,96,663,0.5979899497487438,0.5534883720930233,0.5748792270531401,0.55
test,0.65,0.35,0.22,279,278,184,1588,0.5008976660682226,0.6025917926565875,0.5470588235294117,0.44
val,0.65,0.35,0.24,115,78,100,665,0.5958549222797928,0.5348837209302325,0.5637254901960783,0.525
